City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
97,Ponta Do Sol,PT,2020-12-09 18:48:57,32.67,-17.1,60.8,87,40,10.29,light intensity shower rain,0,0
98,Kerchevskiy,RU,2020-12-09 18:48:57,59.95,56.29,5.45,95,93,3.62,overcast clouds,0,0
99,Ardakan,IR,2020-12-09 18:48:58,32.31,54.02,44.6,75,0,4.7,clear sky,0,0
100,Urbano Santos,BR,2020-12-09 18:48:58,-3.21,-43.4,85.82,61,96,6.17,overcast clouds,0,0
101,Bonthe,SL,2020-12-09 18:48:58,7.53,-12.51,79.99,82,100,4.54,light rain,0,0
102,Pevek,RU,2020-12-09 18:48:58,69.7,170.31,-6.61,91,39,4.25,scattered clouds,0,0
103,Sao Filipe,CV,2020-12-09 18:48:58,14.9,-24.5,75.54,73,63,12.28,broken clouds,0,0
104,Alofi,NU,2020-12-09 18:48:59,-19.06,-169.92,78.8,83,1,13.87,clear sky,0,0
105,Tasiilaq,GL,2020-12-09 18:48:59,65.61,-37.64,14.0,51,5,2.24,clear sky,0,0
106,Bilibino,RU,2020-12-09 18:48:59,68.05,166.44,-10.7,87,37,3.13,scattered clouds,0,0
107,Hermanus,ZA,2020-12-09 18:48:59,-34.42,19.23,64.99,88,100,1.77,overcast clouds,0,0
108,Bahia Honda,CU,2020-12-09 18:48:59,22.9,-83.16,70.86,58,19,11.32,few clouds,0,0
109,Bredasdorp,ZA,2020-12-09 18:49:00,-34.53,20.04,64.4,82,100,4.7,overcast clouds,0,0
110,Lavrentiya,RU,2020-12-09 18:49:00,65.58,-171.0,7.43,89,0,7.47,clear sky,0,0
111,Kroya,ID,2020-12-09 18:49:00,-7.63,109.25,78.64,82,82,7.49,broken clouds,0,0
112,Mogwase,ZA,2020-12-09 18:49:00,-25.18,27.27,75.47,53,30,6.44,scattered clouds,0,0
113,Bubaque,GW,2020-12-09 18:49:00,11.28,-15.83,83.62,64,36,17.27,scattered clouds,0,0
114,Haines Junction,CA,2020-12-09 18:49:01,60.75,-137.51,5.0,84,100,2.24,overcast clouds,0,0
115,Namatanai,PG,2020-12-09 18:49:01,-3.67,152.43,79.43,78,100,3.85,light rain,0,0
116,Roald,NO,2020-12-09 18:49:01,62.58,6.13,41.0,62,0,11.41,clear sky,0,0
117,Nome,US,2020-12-09 18:49:01,64.5,-165.41,6.8,84,90,12.75,light snow,0,0
118,Akhtanizovskaya,RU,2020-12-09 18:49:01,45.32,37.1,41.0,86,75,4.47,broken clouds,0,0
119,Gomel,BY,2020-12-09 18:48:01,52.43,30.98,21.2,67,0,8.95,clear sky,0,0
120,Kropotkin,RU,2020-12-09 18:49:02,45.44,40.58,36.09,82,88,13.22,light rain,0,0
121,Northam,GB,2020-12-09 18:49:02,51.03,-4.22,46.99,93,100,11.99,light rain,0,0
122,Ostrovnoy,RU,2020-12-09 18:49:02,68.05,39.51,24.37,92,9,28.77,clear sky,0,0
123,Curumani,CO,2020-12-09 18:44:07,9.2,-73.54,85.57,73,100,0.81,light rain,0,0
124,Noumea,NC,2020-12-09 18:49:03,-22.28,166.46,80.01,94,0,3.36,clear sky,0,0
125,Champerico,GT,2020-12-09 18:49:03,14.3,-91.92,89.6,55,0,6.93,clear sky,0,0
126,Yetkul,RU,2020-12-09 18:49:03,54.82,61.59,10.4,78,0,8.95,clear sky,0,0
127,Skjervoy,NO,2020-12-09 18:49:03,70.03,20.97,37.4,74,75,4.7,light rain,0,0
128,Kutahya,TR,2020-12-09 18:48:38,39.42,29.98,44.6,75,0,9.17,clear sky,0,0
129,Ilulissat,GL,2020-12-09 18:49:04,69.22,-51.1,21.2,44,75,11.41,broken clouds,0,0
130,Korla,CN,2020-12-09 18:49:04,41.76,86.15,22.69,90,52,2.33,broken clouds,0,0
131,Coihaique,CL,2020-12-09 18:49:04,-45.58,-72.07,59.0,51,75,10.29,broken clouds,0,0
132,Puerto Ayora,EC,2020-12-09 18:49:04,-0.74,-90.35,77.0,78,75,17.22,broken clouds,0,0
133,Hilo,US,2020-12-09 18:49:05,19.73,-155.09,75.0,68,1,6.93,clear sky,0,0
134,Burnie,AU,2020-12-09 18:48:11,-41.07,145.92,48.99,71,0,13.0,clear sky,0,0
135,Praia Da Vitoria,PT,2020-12-09 18:47:10,38.73,-27.07,64.4,88,20,7.96,few clouds,0,0
136,Chuy,UY,2020-12-09 18:49:05,-33.7,-53.46,75.9,57,0,9.01,clear sky,0,0
137,Bethel,US,2020-12-09 18:48:39,41.37,-73.41,35.6,69,90,10.29,haze,0,0
138,Shalakusha,RU,2020-12-09 18:49:06,62.22,40.25,19.53,91,0,5.75,clear sky,0,0
139,Kamenka,RU,2020-12-09 18:49:06,51.32,42.77,17.19,91,0,8.05,clear sky,0,0
140,Talnakh,RU,2020-12-09 18:49:06,69.49,88.4,-9.4,69,0,8.95,clear sky,0,0
141,Bambous Virieux,MU,2020-12-09 18:49:06,-20.34,57.76,75.2,83,75,16.11,shower rain,0,0
142,Eureka,US,2020-12-09 18:49:07,40.8,-124.16,53.01,97,100,1.01,overcast clouds,0,0
143,Bucerias,MX,2020-12-09 18:49:07,20.75,-105.33,80.6,65,5,4.7,clear sky,0,0
144,Chinhoyi,ZW,2020-12-09 18:49:07,-17.37,30.2,68.32,81,100,4.34,overcast clouds,0,0
145,Saint-Francois,FR,2020-12-09 18:49:07,46.42,3.91,39.99,100,90,1.12,overcast clouds,0,0
146,Butaritari,KI,2020-12-09 18:49:07,3.07,172.79,81.52,77,100,8.23,moderate rain,0,0
147,Yar-Sale,RU,2020-12-09 18:49:08,66.83,70.83,19.74,93,0,21.09,clear sky,0,0
148,Loncoche,CL,2020-12-09 18:49:08,-39.37,-72.63,73.4,46,20,6.93,few clouds,0,0
149,Provideniya,RU,2020-12-09 18:49:08,64.38,-173.3,7.79,82,0,5.23,clear sky,0,0
